date,a2c,ddpg,ppo,td3,sac
2023-07-17 13:00:00,1670938.9169110002,,,,
2023-07-17 14:00:00,1672445.511911,,,,
2023-07-17 15:00:00,1007942.851911,,,,
2023-07-18 09:00:00,1381772.330911,,,,
2023-07-18 10:00:00,1001432.4069110003,,,,
2023-07-18 11:00:00,1189559.217911,,,,
2023-07-18 12:00:00,992278.0809110001,,,,
2023-07-18 13:00:00,1304356.873911,,,,
2023-07-18 14:00:00,1308198.8799110001,,,,
2023-07-18 15:00:00,1014286.9919110002,,,,
2023-07-19 09:00:00,1401593.8559110002,,,,
2023-07-19 10:00:00,1203070.5659110001,,,,
2023-07-19 11:00:00,1424529.872911,,,,
2023-07-19 12:00:00,1402926.510911,,,,
2023-07-19 13:00:00,1300127.380911,,,,
2023-07-19 14:00:00,984939.6929110001,,,,
2023-07-19 15:00:00,1305003.239911,,,,
2023-07-20 09:00:00,1302610.4489110003,,,,
2023-07-20 10:00:00,996387.9969110001,,,,
2023-07-20 11:00:00,1666222.9849110001,,,,
2023-07-20 12:00:00,975238.626911,,,,
2023-07-20 13:00:00,1200125.378911,,,,
2023-07-20 14:00:00,1364308.6669110002,,,,
2023-07-20 15:00:00,1343226.6529110002,,,,
2023-07-21 09:00:00,1372613.332911,,,,
2023-07-21 10:00:00,1332837.1069110003,,,,
2023-07-21 11:00:00,1519336.140911,,,,
2023-07-21 12:00:00,1220454.333911,,,,
2023-07-21 13:00:00,986860.1419110001,,,,
2023-07-21 14:00:00,1348183.3019109997,,,,
2023-07-21 15:00:00,1331257.3589109997,,,,
2023-07-24 09:00:00,1196426.449911,,,,
2023-07-24 10:00:00,1346632.5919110002,,,,
2023-07-24 11:00:00,1337221.4369110002,,,,
2023-07-24 12:00:00,1206238.497911,,,,
2023-07-24 13:00:00,1038971.4429110001,,,,
2023-07-24 14:00:00,1626759.8349110002,,,,
2023-07-24 15:00:00,1261290.7959110003,,,,
2023-07-25 09:00:00,988114.9569110002,,,,
2023-07-25 10:00:00,785546.8669110001,,,,
2023-07-25 11:00:00,1207144.6139109998,,,,
2023-07-25 12:00:00,1360490.9759109998,,,,
2023-07-25 13:00:00,1350710.6019110002,,,,
2023-07-25 14:00:00,1275725.4829109998,,,,
2023-07-25 15:00:00,978201.3429110002,,,,
2023-07-26 09:00:00,1273091.276911,,,,
2023-07-26 10:00:00,1265007.860911,,,,
2023-07-26 11:00:00,980498.1519110001,,,,
2023-07-26 12:00:00,1632845.0829110001,,,,
2023-07-26 13:00:00,1644296.589911,,,,
2023-07-26 14:00:00,1261995.381911,,,,
2023-07-26 15:00:00,1535035.1979109999,,,,
2023-07-27 09:00:00,833129.8959110001,,,,
2023-07-27 10:00:00,988660.2519110002,,,,
2023-07-27 11:00:00,1369333.9199110002,,,,
2023-07-27 12:00:00,1289080.594911,,,,
2023-07-27 13:00:00,1278565.9339110001,,,,
2023-07-27 14:00:00,979131.6289110002,,,,
